,ot_alliri,ot_classiri,ot_proertyiri
91,http://www.owl-ontologies.com/questionnaire#column,http://www.owl-ontologies.com/questionnaire#column,http://purl.oclc.org/NET/ssnx/ssn#hasProperty
92,http://www.owl-ontologies.com/questionnaire#row,http://www.owl-ontologies.com/questionnaire#row,http://purl.oclc.org/NET/ssnx/ssn#isPropertyOf
93,http://www.w3.org/2003/01/geo/wgs84_pos#Point,http://www.w3.org/2003/01/geo/wgs84_pos#Point,http://purl.oclc.org/NET/ssnx/ssn#observationResult
94,http://www.w3.org/2006/time#DurationDescription,http://www.w3.org/2006/time#DurationDescription,http://purl.oclc.org/NET/ssnx/ssn#observationSamplingTime
95,http://www.w3.org/2006/time#Instant,http://www.w3.org/2006/time#Instant,http://purl.oclc.org/NET/ssnx/ssn#observedProperty
96,http://www.w3.org/2006/time#Interval,http://www.w3.org/2006/time#Interval,http://purl.org/ontology/olo/core#item
97,http://www.w3.org/2006/time#TemporalEntity,http://www.w3.org/2006/time#TemporalEntity,http://purl.org/ontology/olo/core#next
98,http://www.w3.org/ns/sosa/ObservableProperty,http://www.w3.org/ns/sosa/ObservableProperty,http://purl.org/ontology/olo/core#ordered_list
99,http://www.w3.org/ns/sosa/Observation,http://www.w3.org/ns/sosa/Observation,http://purl.org/ontology/olo/core#previous
100,http://www.w3.org/ns/sosa/Sensor,http://www.w3.org/ns/sosa/Sensor,http://purl.org/ontology/olo/core#slot
101,http://www.wurvoc.org/vocabularies/om-1.8/Compound_unit,http://www.wurvoc.org/vocabularies/om-1.8/Compound_unit,http://schema.org/attendee
102,http://www.wurvoc.org/vocabularies/om-1.8/Singular_unit,http://www.wurvoc.org/vocabularies/om-1.8/Singular_unit,http://schema.org/event
103,http://www.wurvoc.org/vocabularies/om-1.8/Unit_division,http://www.wurvoc.org/vocabularies/om-1.8/Unit_division,http://schema.org/geo
104,http://www.wurvoc.org/vocabularies/om-1.8/Unit_exponentiation,http://www.wurvoc.org/vocabularies/om-1.8/Unit_exponentiation,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation
